countriesAndTerritories,location,continent,population_year,population,index
Afghanistan,Afghanistan,Asia,2020,38928341,0
Albania,Albania,Europe,2020,2877800,1
Algeria,Algeria,Africa,2020,43851043,2
Andorra,Andorra,Europe,2020,77265,3
Angola,Angola,Africa,2020,32866268,4
Anguilla,Anguilla,North America,2020,15002,5
Antigua_and_Barbuda,Antigua and Barbuda,North America,2020,97928,6
Argentina,Argentina,South America,2020,45195777,7
Armenia,Armenia,Asia,2020,2963234,8
Aruba,Aruba,North America,2020,106766,9
Australia,Australia,Oceania,2020,25499881,10
Austria,Austria,Europe,2020,9006400,11
Azerbaijan,Azerbaijan,Asia,2020,10139175,12
Bahamas,Bahamas,North America,2020,393248,13
Bahrain,Bahrain,Asia,2020,1701583,14
Bangladesh,Bangladesh,Asia,2020,164689383,15
Barbados,Barbados,North America,2020,287371,16
Belarus,Belarus,Europe,2020,9449321,17
Belgium,Belgium,Europe,2020,11589616,18
Belize,Belize,North America,2020,397621,19
Benin,Benin,Africa,2020,12123198,20
Bermuda,Bermuda,North America,2020,62273,21
Bhutan,Bhutan,Asia,2020,771612,22
Bolivia,Bolivia,South America,2020,11673029,23
"Bonaire, Saint Eustatius and Saba",Bonaire Sint Eustatius and Saba,North America,2020,26221,24
Bosnia_and_Herzegovina,Bosnia and Herzegovina,Europe,2020,3280815,25
Botswana,Botswana,Africa,2020,2351625,26
Brazil,Brazil,South America,2020,212559409,27
British_Virgin_Islands,British Virgin Islands,North America,2020,30237,28
Brunei_Darussalam,Brunei,Asia,2020,437483,29
Bulgaria,Bulgaria,Europe,2020,6948445,30
Burkina_Faso,Burkina Faso,Africa,2020,20903278,31
Burundi,Burundi,Africa,2020,11890781,32
Cambodia,Cambodia,Asia,2020,16718971,33
Cameroon,Cameroon,Africa,2020,26545864,34
Canada,Canada,North America,2020,37742157,35
Cape_Verde,Cape Verde,Africa,2020,555988,36
Cases_on_an_international_conveyance_Japan,International,"","","",37
Cayman_Islands,Cayman Islands,North America,2020,65720,38
Central_African_Republic,Central African Republic,Africa,2020,4829764,39
Chad,Chad,Africa,2020,16425859,40
Chile,Chile,South America,2020,19116209,41
China,China,Asia,2020,1439323774,42
Colombia,Colombia,South America,2020,50882884,43
Comoros,Comoros,Africa,2020,869595,44
Congo,Congo,Africa,2020,5518092,45
Costa_Rica,Costa Rica,North America,2020,5094114,46
Cote_dIvoire,Cote d'Ivoire,Africa,2020,26378275,47
Croatia,Croatia,Europe,2020,4105268,48
Cuba,Cuba,North America,2020,11326616,49
Curaçao,Curacao,North America,2020,164100,50
Cyprus,Cyprus,Europe,2020,875899,51
Czechia,Czech Republic,Europe,2020,10708982,52
Democratic_Republic_of_the_Congo,Democratic Republic of Congo,Africa,2020,89561404,53
Denmark,Denmark,Europe,2020,5792203,54
Djibouti,Djibouti,Africa,2020,988002,55
Dominica,Dominica,North America,2020,71991,56
Dominican_Republic,Dominican Republic,North America,2020,10847904,57
Ecuador,Ecuador,South America,2020,17643060,58
Egypt,Egypt,Africa,2020,102334403,59
El_Salvador,El Salvador,North America,2020,6486201,60
Equatorial_Guinea,Equatorial Guinea,Africa,2020,1402985,61
Eritrea,Eritrea,Africa,2020,3546427,62
Estonia,Estonia,Europe,2020,1326539,63
Eswatini,Swaziland,Africa,2020,1160164,64
Ethiopia,Ethiopia,Africa,2020,114963583,65
Falkland_Islands_(Malvinas),Falkland Islands,South America,2020,3483,66
Faroe_Islands,Faeroe Islands,Europe,2020,48865,67
Fiji,Fiji,Oceania,2020,896444,68
Finland,Finland,Europe,2020,5540718,69
France,France,Europe,2020,65273512,70
French_Polynesia,French Polynesia,Oceania,2020,280904,71
Gabon,Gabon,Africa,2020,2225728,72
Gambia,Gambia,Africa,2020,2416664,73
Georgia,Georgia,Asia,2020,3989175,74
Germany,Germany,Europe,2020,83783945,75
Ghana,Ghana,Africa,2020,31072945,76
Gibraltar,Gibraltar,Europe,2020,33691,77
Greece,Greece,Europe,2020,10423056,78
Greenland,Greenland,North America,2020,56772,79
Grenada,Grenada,North America,2020,112519,80
Guam,Guam,Oceania,2020,168783,81
Guatemala,Guatemala,North America,2020,17915567,82
Guernsey,Guernsey,Europe,"","",83
Guinea,Guinea,Africa,2020,13132792,84
Guinea_Bissau,Guinea-Bissau,Africa,2020,1967998,85
Guyana,Guyana,South America,2020,786559,86
Haiti,Haiti,North America,2020,11402533,87
Holy_See,Vatican,Europe,2020,809,88
Honduras,Honduras,North America,2020,9904608,89
Hungary,Hungary,Europe,2020,9660350,90
Iceland,Iceland,Europe,2020,341250,91
India,India,Asia,2020,1380004385,92
Indonesia,Indonesia,Asia,2020,273523621,93
Iran,Iran,Asia,2020,83992953,94
Iraq,Iraq,Asia,2020,40222503,95
Ireland,Ireland,Europe,2020,4937796,96
Isle_of_Man,Isle of Man,Europe,2020,85032,97
Israel,Israel,Asia,2020,8655541,98
Italy,Italy,Europe,2020,60461828,99
Jamaica,Jamaica,North America,2020,2961161,100
Japan,Japan,Asia,2020,126476458,101
Jersey,Jersey,Europe,"","",102
Jordan,Jordan,Asia,2020,10203140,103
Kazakhstan,Kazakhstan,Asia,2020,18776707,104
Kenya,Kenya,Africa,2020,53771300,105
Kosovo,Kosovo,Europe,2020,1932774,106
Kuwait,Kuwait,Asia,2020,4270563,107
Kyrgyzstan,Kyrgyzstan,Asia,2020,6524191,108
Laos,Laos,Asia,2020,7275556,109
Latvia,Latvia,Europe,2020,1886202,110
Lebanon,Lebanon,Asia,2020,6825442,111
Liberia,Liberia,Africa,2020,5057677,112
Libya,Libya,Africa,2020,6871287,113
Liechtenstein,Liechtenstein,Europe,2020,38137,114
Lithuania,Lithuania,Europe,2020,2722291,115
Luxembourg,Luxembourg,Europe,2020,625976,116
Madagascar,Madagascar,Africa,2020,27691019,117
Malawi,Malawi,Africa,2020,19129955,118
Malaysia,Malaysia,Asia,2020,32365998,119
Maldives,Maldives,Asia,2020,540542,120
Mali,Mali,Africa,2020,20250834,121
Malta,Malta,Europe,2020,441539,122
Mauritania,Mauritania,Africa,2020,4649660,123
Mauritius,Mauritius,Africa,2020,1271767,124
Mexico,Mexico,North America,2020,128932753,125
Moldova,Moldova,Europe,2020,4033963,126
Monaco,Monaco,Europe,2020,39244,127
Mongolia,Mongolia,Asia,2020,3278292,128
Montenegro,Montenegro,Europe,2020,628062,129
Montserrat,Montserrat,North America,2020,4999,130
Morocco,Morocco,Africa,2020,36910558,131
Mozambique,Mozambique,Africa,2020,31255435,132
Myanmar,Myanmar,Asia,2020,54409794,133
Namibia,Namibia,Africa,2020,2540916,134
Nepal,Nepal,Asia,2020,29136808,135
Netherlands,Netherlands,Europe,2020,17134873,136
New_Caledonia,New Caledonia,Oceania,2020,285491,137
New_Zealand,New Zealand,Oceania,2020,4822233,138
Nicaragua,Nicaragua,North America,2020,6624554,139
Niger,Niger,Africa,2020,24206636,140
Nigeria,Nigeria,Africa,2020,206139587,141
North_Macedonia,Macedonia,Europe,2020,2083380,142
Northern_Mariana_Islands,Northern Mariana Islands,Oceania,2020,57557,143
Norway,Norway,Europe,2020,5421242,144
Oman,Oman,Asia,2020,5106622,145
Pakistan,Pakistan,Asia,2020,220892331,146
Palestine,Palestine,Asia,2020,5101416,147
Panama,Panama,North America,2020,4314768,148
Papua_New_Guinea,Papua New Guinea,Oceania,2020,8947027,149
Paraguay,Paraguay,South America,2020,7132530,150
Peru,Peru,South America,2020,32971846,151
Philippines,Philippines,Asia,2020,109581085,152
Poland,Poland,Europe,2020,37846605,153
Portugal,Portugal,Europe,2020,10196707,154
Puerto_Rico,Puerto Rico,North America,2020,2860840,155
Qatar,Qatar,Asia,2020,2881060,156
Romania,Romania,Europe,2020,19237682,157
Russia,Russia,Europe,2020,145934460,158
Rwanda,Rwanda,Africa,2020,12952209,159
Saint_Kitts_and_Nevis,Saint Kitts and Nevis,North America,2020,53192,160
Saint_Lucia,Saint Lucia,North America,2020,183629,161
Saint_Vincent_and_the_Grenadines,Saint Vincent and the Grenadines,North America,2020,110947,162
San_Marino,San Marino,Europe,2020,33938,163
Sao_Tome_and_Principe,Sao Tome and Principe,Africa,2020,219161,164
Saudi_Arabia,Saudi Arabia,Asia,2020,34813867,165
Senegal,Senegal,Africa,2020,16743930,166
Serbia,Serbia,Europe,2020,6804596,167
Seychelles,Seychelles,Africa,2020,98340,168
Sierra_Leone,Sierra Leone,Africa,2020,7976985,169
Singapore,Singapore,Asia,2020,5850343,170
Sint_Maarten,Sint Maarten (Dutch part),North America,2020,42882,171
Slovakia,Slovakia,Europe,2020,5459643,172
Slovenia,Slovenia,Europe,2020,2078932,173
Somalia,Somalia,Africa,2020,15893219,174
South_Africa,South Africa,Africa,2020,59308690,175
South_Korea,South Korea,Asia,2020,51269183,176
South_Sudan,South Sudan,Africa,2020,11193729,177
Spain,Spain,Europe,2020,46754783,178
Sri_Lanka,Sri Lanka,Asia,2020,21413250,179
Sudan,Sudan,Africa,2020,43849269,180
Suriname,Suriname,South America,2020,586634,181
Sweden,Sweden,Europe,2020,10099270,182
Switzerland,Switzerland,Europe,2020,8654618,183
Syria,Syria,Asia,2020,17500657,184
Taiwan,Taiwan,Asia,2020,23816775,185
Tajikistan,Tajikistan,Asia,2020,9537642,186
Thailand,Thailand,Asia,2020,69799978,187
Timor_Leste,Timor,Asia,2020,1318442,188
Togo,Togo,Africa,2020,8278737,189
Trinidad_and_Tobago,Trinidad and Tobago,North America,2020,1399491,190
Tunisia,Tunisia,Africa,2020,11818618,191
Turkey,Turkey,Asia,2020,84339067,192
Turks_and_Caicos_islands,Turks and Caicos Islands,North America,2020,38718,193
Uganda,Uganda,Africa,2020,45741000,194
Ukraine,Ukraine,Europe,2020,43733759,195
United_Arab_Emirates,United Arab Emirates,Asia,2020,9890400,196
United_Kingdom,United Kingdom,Europe,2020,67886004,197
